,count,unique,top,freq
id,12044,12044,12044,1
AbdCTScan,12044.0,4.0,2.0,6557.0
AbdCTScan1,12044.0,2.0,2.0,6536.0
AbdUltrasound,12044.0,4.0,2.0,9876.0
AbdUltrasound1,12044.0,2.0,2.0,11014.0
AbdomenTender,12044.0,4.0,2.0,7236.0
AbnChestAusc,12044.0,4.0,2.0,11616.0
AlcDrgSuspicion,12044.0,3.0,2.0,11704.0
ApproxWtKg,12044.0,864.0,40.0,1261.0
BowelSounds,12044.0,4.0,2.0,9250.0
CHCXRFindings,12044.0,2.0,1.0,11585.0
Certification,12044.0,9.0,3.0,6629.0
ChestCXR,12044.0,2.0,1.0,8030.0
CurrIntubated,12044.0,3.0,2.0,11451.0
EDTriageTime,12044.0,1263.0,1704.0,225.0
FlankTender,12044.0,4.0,2.0,9659.0
GCSEye,12044.0,4.0,1.0,11127.0
GCSMotor,12044.0,6.0,1.0,11184.0
GCSScore,12044.0,13.0,15.0,10417.0
GCSVerbal,12044.0,5.0,1.0,10615.0
HCTDay,12044.0,10.0,0.0,9513.0
HCTTime,12044.0,1374.0,1550.0,3112.0
HCTValue,12044.0,353.0,36.7,3173.0
HRDocumented,12044.0,3.0,1.0,11994.0
HematocritColl,12044.0,2.0,1.0,10203.0
IAIAcuteInterv,12044.0,6.0,1.0,9252.0
IAISuspicion,12044.0,6.0,1.0,6591.0
InitHeartRate,12044.0,174.0,100.0,485.0
InitResp,12044.0,4.0,1.0,11774.0
InitRespRange,12044.0,78.0,20.0,2730.0
InitSysBP,12044.0,3.0,1.0,11783.0
InitSysBPRange,12044.0,145.0,119.0,538.0
InjTmKnown,12044.0,2.0,1.0,8763.0
InjuryDay,12044.0,2.0,0.0,11289.0
InjuryMechanism,12044.0,10.0,1.0,3830.0
InjuryTime,12044.0,482.0,1600.0,3635.0
LabResultAware,12044.0,3.0,2.0,8976.0
LabsObtained,12044.0,2.0,1.0,10798.0
LtCostalTender,12044.0,4.0,2.0,9903.0
NonAbdSurgery,12044.0,4.0,2.0,9256.0
OthAbdImages,12044.0,2.0,2.0,11952.0
PelvicTender,12044.0,4.0,2.0,9834.0
PelvicXR,12044.0,2.0,2.0,6968.0
PelvisUnstable,12044.0,4.0,2.0,11375.0
PeritonIrrit,12044.0,4.0,2.0,10709.0
PharmaParalyzed,12044.0,3.0,2.0,11607.0
