,count,unique,top,freq
Age,2188.0,27.0,14.0,176.0
Hispanic ethnicity,2031.0,2.0,0.0,1770.0
Mechanism of injury (choice=Assault/struck),2188,2,0,2130
Mechanism of injury (choice=ATV injury),2188,2,0,2010
Mechanism of injury (choice=Bike crash),2188,2,0,2107
Mechanism of injury (choice=Bike struck by auto),2188,2,0,2098
Mechanism of injury (choice=Fall > 10 ft. height),2188,2,0,2031
Mechanism of injury (choice=Golf cart injury),2188,2,0,2168
Mechanism of injury (choice=Motorcycle/dirt bike crash),2188,2,0,2140
Mechanism of injury (choice=MVC),2188,2,0,1172
Mechanism of injury (choice=Pedestrian struck by auto),2188,2,0,1839
Mechanism of injury (choice=Other blunt mechanism),2188,2,0,1985
"If bike crash, landed on handle bar",81.0,2.0,0.0,57.0
MVC details (choice=>40 MPH),2188,2,0,1671
MVC details (choice=Ejection),2188,2,0,2067
MVC details (choice=Rollover),2188,2,0,1924
MVC details (choice=Prolonged extrication),2188,2,0,2137
MVC details (choice=Unrestrained),2188,2,0,1970
MVC details (choice=Death in vehicle),2188,2,0,2104
MVC details (choice=0t reported),2188,2,0,2082
Emesis post injury,2176.0,2.0,0.0,1974.0
Intubated prior to arrival,2176.0,2.0,0.0,2030.0
Intubated during trauma resuscitation,2178.0,2.0,0.0,2069.0
Initial ED HR,2183.0,159.0,100.0,69.0
Initial ED systolic BP,2177.0,128.0,122.0,77.0
GCSScore,2188,13,15,1733
Evidence of abdominal wall trauma (choice=None),2188,2,1,1709
Evidence of abdominal wall trauma (choice=Abrasion),2188,2,0,1855
Contusion,2188,2,0,2066
Evidence of thoracic trauma  (choice=None),2188,2,1,1870
Evidence of thoracic trauma  (choice=Abrasion),2188,2,0,1926
Evidence of thoracic trauma  (choice=Contusion),2188,2,0,2105
Evidence of thoracic trauma  (choice=Decreased breath sounds),2188,2,0,2163
Evidence of thoracic trauma  (choice=SQ air),2188,2,0,2179
Lower chest wall/costal margin tenderness to palpation  (choice=None),2188,2,1,1901
LtCostalTender,2188,2,0,2121
RtCostalTender,2188,2,0,2128
Lower chest wall/costal margin tenderness to palpation  (choice=Limited exam secondary to intubation/sedation),2188,2,0,2006
Pelvic bone tenderness or instability on palpation,2188,2,0,2082
Femur fracture,2177.0,2.0,0.0,2034.0
Chest X-ray (choice=0rmal),2188,2,1,1525
Chest X-ray (choice=Hemothorax),2188,2,0,2179
Chest X-ray (choice=Pneumothorax),2188,2,0,2114
Chest X-ray (choice=Subcutaneous emphysema (without evident hemo/pneumo thorax)),2188,2,0,2180
Chest X-ray (choice=Pulmonary contusion),2188,2,0,2058
Chest X-ray (choice=Clavicle fracture),2188,2,0,2128
Chest X-ray (choice=Rib fracture),2188,2,0,2141
Chest X-ray (choice=Thoracic spine fracture),2188,2,0,2183
Chest X-ray (choice=Mediastinal widening),2188,2,0,2180
Chest X-ray (choice=0t ordered),2188,2,0,1786
FAST (choice=Negative),2188,2,0,1423
FAST (choice=+ cardiac),2188,2,0,2185
FAST (choice=+ right),2188,2,0,2168
FAST (choice=+ left),2188,2,0,2170
FAST (choice=+ pelvis),2188,2,0,2164
FAST (choice=0t performed),2188,2,1,1359
CT abdomen/pelvis ordered from trauma bay,2187.0,2.0,0.0,1248.0
Abdominal CT scan performed,2186.0,2.0,0.0,1219.0
Intra-abdominal injury,966.0,2.0,0.0,705.0
Spleen injury,259.0,2.0,0.0,190.0
Spleen injury grade,65.0,5.0,3.0,19.0
Blush/extravasation of IV contrast in spleen,67.0,2.0,0.0,57.0
Liver injury,258.0,2.0,0.0,135.0
Liver injury grade,118.0,5.0,2.0,37.0
Blush/extravasation of IV contrast in liver,121.0,2.0,0.0,112.0
Kidney injury,258.0,2.0,0.0,219.0
Kidney injury grade,36.0,5.0,3.0,12.0
Blush/extravasation of IV contrast in kidney,38.0,2.0,0.0,26.0
Mesentery injury,256.0,2.0,0.0,233.0
Duodenum injury,257.0,2.0,0.0,241.0
Duodenum hematoma,16.0,2.0,1.0,8.0
Duodenum perforation,18.0,2.0,0.0,15.0
Jejunum/ileum injury,258.0,2.0,0.0,241.0
Jejunum/ileum hematoma,17.0,2.0,0.0,10.0
Jejunum/ileum perforation,16.0,2.0,0.0,11.0
Colon injury,257.0,2.0,0.0,244.0
Colon hematoma,13.0,2.0,0.0,9.0
Colon perforation,12.0,2.0,1.0,7.0
Adrenal injury,259.0,2.0,0.0,227.0
Pancreas injury,259.0,2.0,0.0,247.0
